lon,lat,Date,Site,TransID,TripID,Location,Start,End,Sea cond,Country,Project,Reserve,First Observer,Second Observer,SiteID,Transect,Depth Start,Depth End,Time Start,Time End,Photos,Logger,Notes,Observer,Species,Confidence,Amount,Length,Distance,numeric_id,Observer_Name,Season,Year,Mean_Depth,Depth_Category
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Coris julis,1,1,18,2,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Coris julis,1,4,8,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Coris julis,1,6,4,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Coris julis,1,1,8,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Coris julis,1,1,12,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Chromis chromis,1,30,1,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Chromis chromis,1,12,4,2,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Chromis chromis,1,1,6,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Chromis chromis,1,1,8,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Chromis chromis,1,300,3,3,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Apogon imberbis,1,1,6,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Apogon imberbis,1,6,6,3,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Apogon imberbis,1,4,8,0,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Apogon imberbis,1,1,4,0,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Apogon imberbis,1,10,5,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Apogon imberbis,1,12,6,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Serranus cabrilla,1,1,15,2,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Serranus cabrilla,1,1,12,2,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Serranus cabrilla,1,1,18,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Serranus cabrilla,1,1,12,2,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Serranus cabrilla,1,1,15,2,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Serranus cabrilla,1,1,10,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Serranus cabrilla,1,1,8,0,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Serranus cabrilla,1,1,10,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Serranus cabrilla,1,1,12,0,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Mullus surmuletus,1,1,12,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Mullus surmuletus,1,1,15,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Gobius bucchichi,1,1,10,0,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Gobius bucchichi,1,1,8,0,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Siganus luridus,1,2,15,3,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Siganus luridus,1,1,15,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Siganus luridus,1,2,15,3,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Siganus luridus,1,1,15,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Symphodus mediterraneus,1,1,15,0,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Symphodus mediterraneus,1,1,8,2,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Symphodus mediterraneus,1,1,4,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Epinephelus costea,1,1,18,2,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Spicara maena,1,500,6,3,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Sparisoma cretense,1,4,5,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Sparisoma cretense,1,1,6,1,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,first,Sparisoma cretense,1,3,4,0,1,Shahar Malamud,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Chromis chromis,1,1,5,0,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Chromis chromis,1,1,7,0,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Chromis chromis,1,1,10,1,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Chromis chromis,1,1,7,1,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Chromis chromis,1,10,5,1,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Chromis chromis,1,100,5,2,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Chromis chromis,1,2,10,1,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Chromis chromis,1,1,8,0,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Coris julis,1,1,10,1,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Coris julis,1,2,10,0,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Coris julis,1,1,12,1,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Coris julis,1,1,10,1,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Coris julis,1,1,14,0,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Coris julis,1,1,7,1,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Coris julis,1,1,20,1,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Coris julis,1,2,18,1,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Serranus cabrilla,1,1,12,1,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Serranus cabrilla,1,1,10,1,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Serranus cabrilla,1,1,20,1,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Siganus luridus,1,2,15,2,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Thalassoma pavo,1,1,10,1,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Thalassoma pavo,1,2,10,1,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Thalassoma pavo,1,1,20,2,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Apogon imberbis,1,1,4,1,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Apogon imberbis,1,1,6,0,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Diplodus sargus,1,2,13,0,1,Shira Salingre,Fall,2019,24.4,deep
24.98816,35.41562,2019-10-12,1,ASSECret1210191SMSS_A,ASSECret121019,Cretes,NA,NA,NA,Greece,ASSEMBLE,out,Shahar Malamud,Shira Salingre,ASSECret1210191SMSS,A,24.4,24.4,11:52:00,12:07:00,yes,yes,NA,second,Diplodus vulgaris,1,1,7,2,1,Shira Salingre,Fall,2019,24.4,deep
